Type,Server,Category,Name,Description,Status,Path,Created,LastUpdated
Command,assistant,General,/resource-sheet-catalog,# Resource Sheet Catalog — Element Classification & Templates,active,C:\Users\willh\.claude\commands\resource-sheet-catalog.md,2026-01-02T18:27:50.353703,2026-01-02T18:27:50.354774
Command,assistant,General,/run-by-pattern,# Run By Pattern,active,C:\Users\willh\.claude\commands\run-by-pattern.md,2025-12-27T19:23:37.318312,2025-12-27T19:23:37.320319
Command,assistant,General,/run-parallel,# Run Parallel,active,C:\Users\willh\.claude\commands\run-parallel.md,2025-12-27T19:23:37.344081,2025-12-27T19:23:37.344081
Command,assistant,General,/stub,Log a quick idea as a stub for future feature work (centralized global backlog).,active,C:\Users\willh\.claude\commands\stub.md,2025-12-27T17:53:38.151916,2025-12-27T17:53:38.181914
Command,assistant,General,/track-agent-status,Track agent status across features with real-time dashboard,active,C:\Users\willh\.claude\commands\track-agent-status.md,2025-12-27T17:55:29.770148,2025-12-27T17:55:29.800203
Command,assistant,General,/update-deliverables,Update DELIVERABLES.md with actual metrics from git commit history.,active,C:\Users\willh\.claude\commands\update-deliverables.md,2025-12-27T17:53:38.103363,2025-12-27T17:53:38.137269
Command,assistant,General,/update-task-status,Update task status in plan.json during feature implementation.,active,C:\Users\willh\.claude\commands\update-task-status.md,2025-12-27T17:55:36.689935,2025-12-27T17:55:36.722464
Command,assistant,General,/verify-agent-completion,Verify agent completion with automated checks,active,C:\Users\willh\.claude\commands\verify-agent-completion.md,2025-12-27T17:55:29.673693,2025-12-27T17:55:29.710976
Command,assistant,Personas,/ava,"Activate Ava, the Frontend Specialist persona",active,C:\Users\willh\.claude\commands\ava.md,2025-12-27T18:04:15.246410,2025-12-27T18:04:15.272394
Command,assistant,Personas,/coderef-personas-agent,Activate the coderef-personas-agent persona - persona system specialist with deep expertise in the c,active,C:\Users\willh\.claude\commands\coderef-personas-agent.md,2025-12-28T20:30:42.609324,2025-12-28T20:30:42.609324
Command,assistant,Personas,/create-persona,Create a custom persona through a guided workflow with automatic system prompt generation and valida,active,C:\Users\willh\.claude\commands\create-persona.md,2025-12-27T18:05:00.244884,2025-12-27T18:05:00.270290
Command,assistant,Personas,/lloyd,"Activate Lloyd, your AI project coordinator and technical leader.",active,C:\Users\willh\.claude\commands\lloyd.md,2025-12-27T18:04:15.410230,2025-12-27T18:04:15.437264
Command,assistant,Personas,/marcus,# Marcus Command,active,C:\Users\willh\.claude\commands\marcus.md,2025-12-27T18:04:15.280955,2025-12-27T18:04:15.311790
Command,assistant,Personas,/quinn,# Quinn - Testing Specialist,active,C:\Users\willh\.claude\commands\quinn.md,2025-12-27T18:04:15.324778,2025-12-27T18:04:15.350925
Command,assistant,Personas,/taylor,"Activate Taylor, the General Purpose Agent persona",active,C:\Users\willh\.claude\commands\taylor.md,2025-12-27T18:04:15.365378,2025-12-27T18:04:15.392643
Command,assistant,Personas,/use-persona,# Use Persona Command,active,C:\Users\willh\.claude\commands\use-persona.md,2025-12-27T18:05:00.203398,2025-12-27T18:05:00.231740
Command,assistant,Quality,/audit-codebase,Audit the current project for standards violations and generate a compliance report.,active,C:\Users\willh\.claude\commands\audit-codebase.md,2025-12-27T17:50:03.548398,2025-12-27T17:50:03.580139
Command,assistant,Quality,/check-consistency,Quick consistency check on modified files in the current project (pre-commit gate).,active,C:\Users\willh\.claude\commands\check-consistency.md,2025-12-27T17:50:03.589709,2025-12-27T17:50:03.623952
Command,assistant,Testing,/coderef-testing-agent,Activate the coderef-testing-agent persona - test automation specialist with deep expertise in the c,active,C:\Users\willh\.claude\commands\coderef-testing-agent.md,2025-12-28T20:23:36.531965,2025-12-28T20:23:36.531965
Command,assistant,Testing,/detect-flaky,# Detect Flaky,active,C:\Users\willh\.claude\commands\detect-flaky.md,2025-12-27T19:23:37.246913,2025-12-27T19:23:37.247418
Command,assistant,Testing,/discover-tests,# Discover Tests,active,C:\Users\willh\.claude\commands\discover-tests.md,2025-12-27T19:23:37.271981,2025-12-27T19:23:37.271981
Command,assistant,Testing,/run-test-file,# Run Test File,active,C:\Users\willh\.claude\commands\run-test-file.md,2025-12-27T19:23:37.367882,2025-12-27T19:23:37.367882
Command,assistant,Testing,/run-tests,# Run Tests,active,C:\Users\willh\.claude\commands\run-tests.md,2025-12-27T19:23:37.386705,2025-12-27T19:23:37.386705
Command,assistant,Testing,/test-coverage,# Test Coverage,active,C:\Users\willh\.claude\commands\test-coverage.md,2025-12-27T19:23:37.414688,2025-12-27T19:23:37.414688
Command,assistant,Testing,/test-health,# Test Health,active,C:\Users\willh\.claude\commands\test-health.md,2025-12-27T19:23:37.430654,2025-12-27T19:23:37.430654
Command,assistant,Testing,/test-performance,# Test Performance,active,C:\Users\willh\.claude\commands\test-performance.md,2025-12-27T19:23:37.463029,2025-12-27T19:23:37.463029
Command,assistant,Testing,/test-report,# Test Report,active,C:\Users\willh\.claude\commands\test-report.md,2025-12-27T19:23:37.484452,2025-12-27T19:23:37.484452
Command,assistant,Testing,/test-results,# Test Results,active,C:\Users\willh\.claude\commands\test-results.md,2025-12-27T19:23:37.508388,2025-12-27T19:23:37.508388
Command,assistant,Testing,/test-trends,# Test Trends,active,C:\Users\willh\.claude\commands\test-trends.md,2025-12-27T19:23:37.526235,2025-12-27T19:23:37.526235
Command,assistant,Testing,/testing-proof,Generate testing proof report comparing plan to implementation.,active,C:\Users\willh\.claude\commands\testing-proof.md,2025-12-28T20:26:24.546087,2025-12-28T20:26:24.546087
Command,assistant,Workflow,/align-plan,Align implementation plan with TodoWrite task list for tracking and progress coordination.,active,C:\Users\willh\.claude\commands\align-plan.md,2026-01-01T01:12:15.706007,2026-01-01T01:12:15.706007
Command,assistant,Workflow,/analyze-for-planning,"Analyze the current project to discover foundation docs, coding standards, reference components, and",active,C:\Users\willh\.claude\commands\analyze-for-planning.md,2025-12-27T17:52:08.666868,2025-12-27T17:52:08.692528
Command,assistant,Workflow,/audit-plans,Audit all implementation plans in the project's coderef/workorder/ directory.,active,C:\Users\willh\.claude\commands\audit-plans.md,2025-12-27T17:55:36.737335,2025-12-27T17:55:36.758719
Command,assistant,Workflow,/complete-workorder,"Autonomously implement a feature from plan.json through completion, including all post-implementatio",active,C:\Users\willh\.claude\commands\complete-workorder.md,2025-12-28T05:18:13.845936,2025-12-28T05:18:13.847682
Command,assistant,Workflow,/create-plan,"Create implementation plan by synthesizing context, analysis, and template into a complete plan.json",active,C:\Users\willh\.claude\commands\create-plan.md,2025-12-27T17:52:08.707406,2025-12-27T17:52:08.721963
Command,assistant,Workflow,/create-session,Create a new multi-agent session with communication.json and instructions.json,active,C:\Users\willh\.claude\commands\create-session.md,2026-01-17T13:48:29.657624,2026-01-17T13:48:29.657624
Command,assistant,Workflow,/create-workorder,"Execute the complete 9-step feature planning workflow: gather context, analyze project, create plan,",active,C:\Users\willh\.claude\commands\create-workorder.md,2026-01-11T17:03:27.284403,2026-01-11T17:03:27.284403
Command,assistant,Workflow,/generate-plan-review,Generate a JSON review report from implementation plan validation results.,active,C:\Users\willh\.claude\commands\generate-plan-review.md,2025-12-27T17:53:38.015177,2025-12-27T17:53:38.044978
Command,assistant,Workflow,/get-planning-template,Get the feature implementation planning template for AI reference during plan creation.,active,C:\Users\willh\.claude\commands\get-planning-template.md,2025-12-27T17:53:37.971829,2025-12-27T17:53:37.999292
Command,assistant,Workflow,/get-workorder-log,Read and query the global workorder log file.,active,C:\Users\willh\.claude\commands\get-workorder-log.md,2025-12-27T17:55:36.644814,2025-12-27T17:55:36.672808
Command,assistant,Workflow,/log-workorder,Log a new workorder entry to the global workorder log.,active,C:\Users\willh\.claude\commands\log-workorder.md,2025-12-27T17:55:36.600800,2025-12-27T17:55:36.629645
Command,assistant,Workflow,/validate-plan,Validate implementation plan quality for the current project.,active,C:\Users\willh\.claude\commands\validate-plan.md,2025-12-27T17:52:08.746957,2025-12-27T17:52:08.771852
Command,coderef-dashboard,General,/widget-architect,# Widget Architect Persona,active,C:\Users\willh\Desktop\coderef-dashboard\.claude\commands\widget-architect.md,2025-12-24T14:47:23-05:00,2025-12-24T14:47:23-05:00
Command,coderef-workflow,General,/archive-file,Archive files to assistant/coderef/archived/{project}/ organized by project,active,C:\Users\willh\.mcp-servers\coderef-workflow\.claude\commands\archive-file.md,2026-01-04T16:33:56.562199,2026-01-04T16:33:56.562199
Output,System,Data Format,CSV,Tabular data format,active,.csv,,
Output,System,Data Format,JSON,Structured data format (index.json plan.json communication.json),active,.json,,
Output,System,Documentation,Markdown,Human-readable documentation (README.md ARCHITECTURE.md API.md),active,.md,,
Output,coderef-context,Visualization,DOT,Graphviz graph format,active,.dot,,
Output,coderef-context,Visualization,Mermaid,Dependency graph diagrams (flowchart sequence class),active,.mmd,,
Output,coderef-dashboard,Web,HTML,Dashboard UI (index.html workorders dashboard),active,.html,,
ResourceSheet,documentation,API,File Api Route,agent: claude_sonnet_4_5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\api\File-Api-Route-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,Analysis,Electron IPC Analysis,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\analysis\Electron-IPC-Analysis-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,Analysis,Notifications UX Review,agent: Claude Sonnet 4.5 (claude-sonnet-4-5-20250929),active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\analysis\Notifications-UX-Review-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,Component,Assistant Page,agent: Claude Sonnet 4.5 (claude-sonnet-4-5-20250929),active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\components\Assistant-Page-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,Component,CodeRef Explorer Widget,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\components\CodeRef-Explorer-Widget-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,Component,FileTree,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\components\FileTree-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,Component,FileViewer,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\components\FileViewer-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-14T23:55:34-05:00
ResourceSheet,documentation,Component,Notepad Clone,agent: claude_sonnet_4_5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\components\Notepad-Clone-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,Component,Notes Widget Text Editing,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\components\Notes-Widget-Text-Editing-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,Component,OutputViewer,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\components\OutputViewer-RESOURCE-SHEET.md,2026-01-14T23:55:34-05:00,2026-01-14T23:55:34-05:00
ResourceSheet,documentation,Component,ProjectSelector,agent: Claude Sonnet 4.5 (claude-sonnet-4-5-20250929),active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\components\ProjectSelector-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T17:05:42-05:00
ResourceSheet,documentation,Component,Projects Context,agent: claude_sonnet_4_5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\components\Projects-Context-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T17:04:12-05:00
ResourceSheet,documentation,Component,Right Click Context Menu,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\components\Right-Click-Context-Menu-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,Component,Settings ProjectsPanel,agent: claude_sonnet_4_5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\components\Settings-ProjectsPanel-RESOURCE-SHEET.md,2026-01-13T17:04:12-05:00,2026-01-13T17:04:12-05:00
ResourceSheet,documentation,General,CodeRef Core Scanner,agent: claude_sonnet_4_5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\Coderef-Core-Scanner-RESOURCE-SHEET.md,2026-01-13T19:57:53-05:00,2026-01-13T19:57:53-05:00
ResourceSheet,documentation,General,DOCUMENT REPORTS,**Generated:** 2026-01-03,active,C:\Users\willh\.mcp-servers\coderef-workflow\coderef\DOCUMENT-REPORTS-RESOURCE-SHEET.md,2026-01-04T22:57:12-05:00,2026-01-04T22:57:12-05:00
ResourceSheet,documentation,General,Electron IPC Analysis,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\Electron-IPC-Analysis-RESOURCE-SHEET.md,2026-01-12T13:52:33-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,General,Electron Wrapper,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\integration\Electron-Wrapper-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,General,Hybrid Router,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\middleware\Hybrid-Router-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,General,Index,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\Index-RESOURCE-SHEET.md,2026-01-12T13:52:33-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,General,Notes System,agent: claude_sonnet_4_5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\Notes-System-RESOURCE-SHEET.md,2026-01-14T16:12:34-05:00,2026-01-14T16:12:34-05:00
ResourceSheet,documentation,General,Notifications UX Review,agent: Claude Sonnet 4.5 (claude-sonnet-4-5-20250929),active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\Notifications-UX-Review-RESOURCE-SHEET.md,2026-01-12T13:52:33-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,General,Unified Storage Architecture,agent: claude_sonnet_4_5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\Unified-Storage-RESOURCE-SHEET.md,2026-01-13T18:00:01-05:00,2026-01-13T18:00:01-05:00
ResourceSheet,documentation,General,Validate Stubs,agent: claude-sonnet-4.5,active,C:\Users\willh\Desktop\assistant\coderef\archived\Validate-Stubs-RESOURCE-SHEET.md,2026-01-15T00:04:41-05:00,2026-01-15T00:04:41-05:00
ResourceSheet,documentation,System,Prompting Workflow,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\systems\Prompting-Workflow-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,System,Prompting Workflow Briefing,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\systems\Prompting-Workflow-Briefing-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,System,Prompting Workflow UserFlow,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\systems\Prompting-Workflow-UserFlow-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,System,Sessions Hub System,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\systems\Sessions-Hub-System-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-17T13:14:51-05:00
ResourceSheet,documentation,System,Stubs System,agent: Claude Sonnet 4.5 (claude-sonnet-4-5-20250929),active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\systems\Stubs-System-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,System,Widget System,agent: Claude Sonnet 4.5,active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\systems\Widget-System-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
ResourceSheet,documentation,System,Workorders System,agent: Claude Sonnet 4.5 (claude-sonnet-4-5-20250929),active,C:\Users\willh\Desktop\coderef-dashboard\coderef\resources-sheets\systems\Workorders-System-RESOURCE-SHEET.md,2026-01-13T01:51:04-05:00,2026-01-13T01:51:04-05:00
Schema,papertrail,Documentation,base-frontmatter-schema.json,Universal Documentation Standards (UDS) base schema - required fields for ALL markdown documents in CodeRef ecosystem,active,C:\Users\willh\.mcp-servers\papertrail\schemas\documentation\base-frontmatter-schema.json,2026-01-10T02:45:59-05:00,2026-01-10T02:45:59-05:00
Schema,papertrail,Documentation,foundation-doc-frontmatter-schema.json,"Validates YAML front matter for foundation docs (README, ARCHITECTURE, API, SCHEMA, COMPONENTS) generated by coderef-docs. Extends base-frontmatter-schema.json with workorder tracking and doc_type fields.",active,C:\Users\willh\.mcp-servers\papertrail\schemas\documentation\foundation-doc-frontmatter-schema.json,2026-01-10T03:19:32-05:00,2026-01-13T00:27:49-05:00
Schema,papertrail,Documentation,infrastructure-doc-frontmatter-schema.json,"Validates YAML front matter for infrastructure documentation (deployment guides, CI/CD, monitoring, configuration). Infrastructure docs describe system setup, deployment, and operations.",active,C:\Users\willh\.mcp-servers\papertrail\schemas\documentation\infrastructure-doc-frontmatter-schema.json,2026-01-10T05:04:16-05:00,2026-01-10T05:04:16-05:00
Schema,papertrail,Documentation,migration-doc-frontmatter-schema.json,"Validates YAML front matter for migration documentation (migration guides, deprecation notices, upgrade paths). Migration docs describe how to transition from old to new systems.",active,C:\Users\willh\.mcp-servers\papertrail\schemas\documentation\migration-doc-frontmatter-schema.json,2026-01-10T05:04:16-05:00,2026-01-10T05:04:16-05:00
Schema,papertrail,Documentation,resource-sheet-metadata-schema.json,Validates YAML front matter in resource/reference sheets for UDS and RSMS compliance,active,C:\Users\willh\.mcp-servers\papertrail\schemas\documentation\resource-sheet-metadata-schema.json,2026-01-04T19:01:16-05:00,2026-01-04T19:01:16-05:00
Schema,papertrail,Documentation,script-frontmatter-schema.json,Validates YAML frontmatter in script and test files for triangular bidirectional references,active,C:\Users\willh\.mcp-servers\papertrail\schemas\documentation\script-frontmatter-schema.json,2026-01-04T19:01:16-05:00,2026-01-04T19:01:16-05:00
Schema,papertrail,Documentation,session-doc-frontmatter-schema.json,"Validates YAML front matter for session documentation (communication.json, instructions.json, session summaries). Session docs coordinate multi-agent work.",active,C:\Users\willh\.mcp-servers\papertrail\schemas\documentation\session-doc-frontmatter-schema.json,2026-01-10T05:04:16-05:00,2026-01-10T05:04:16-05:00
Schema,papertrail,Documentation,standards-doc-frontmatter-schema.json,"Validates YAML front matter for standards documentation (global-documentation-standards.md, resource-sheet-standards.md, etc.). Standards docs define policies, conventions, and enforcement rules.",active,C:\Users\willh\.mcp-servers\papertrail\schemas\documentation\standards-doc-frontmatter-schema.json,2026-01-10T04:52:04-05:00,2026-01-13T01:35:42-05:00
Schema,papertrail,Documentation,system-doc-frontmatter-schema.json,"Validates YAML front matter for system documentation (CLAUDE.md, SESSION-INDEX.md, etc.). System docs describe codebase architecture, session management, and project history.",active,C:\Users\willh\.mcp-servers\papertrail\schemas\documentation\system-doc-frontmatter-schema.json,2026-01-10T04:52:04-05:00,2026-01-10T04:52:04-05:00
Schema,papertrail,Documentation,user-facing-doc-frontmatter-schema.json,"Validates YAML front matter for user-facing documentation (guides, tutorials, FAQs in coderef/user/). User docs are allowed to contain emojis per EMOJI-TIMESTAMP-POLICY.md.",active,C:\Users\willh\.mcp-servers\papertrail\schemas\documentation\user-facing-doc-frontmatter-schema.json,2026-01-10T05:04:16-05:00,2026-01-13T01:35:42-05:00
Schema,papertrail,Documentation,workorder-doc-frontmatter-schema.json,Validates YAML front matter for workorder docs generated by coderef-workflow,active,C:\Users\willh\.mcp-servers\papertrail\schemas\documentation\workorder-doc-frontmatter-schema.json,2026-01-10T03:54:52-05:00,2026-01-10T03:54:52-05:00
Schema,papertrail,Mcp,error-responses-schema.json,JSON Schema definitions for error response factory - consistent error formatting across all MCP tools,active,C:\Users\willh\.mcp-servers\papertrail\schemas\mcp\error-responses-schema.json,2026-01-04T19:01:16-05:00,2026-01-04T19:01:16-05:00
Schema,papertrail,Mcp,mcp-client-schema.json,Type definitions and validation contracts for MCP inter-server communication client,active,C:\Users\willh\.mcp-servers\papertrail\schemas\mcp\mcp-client-schema.json,2026-01-04T19:01:16-05:00,2026-01-04T19:01:16-05:00
Schema,papertrail,Mcp,server-schema.json,Type definitions and validation contracts for coderef-workflow MCP server,active,C:\Users\willh\.mcp-servers\papertrail\schemas\mcp\server-schema.json,2026-01-04T19:01:16-05:00,2026-01-04T19:01:16-05:00
Schema,papertrail,Mcp,tool-handlers-schema.json,Type definitions and validation contracts for coderef-workflow MCP tool handlers,active,C:\Users\willh\.mcp-servers\papertrail\schemas\mcp\tool-handlers-schema.json,2026-01-04T19:01:16-05:00,2026-01-04T19:01:16-05:00
